Image Name,Participant 001 First Ordering,Participant 001 Second Ordering,Participant 001 Third Ordering,Participant 002 First Ordering,Participant 002 Second Ordering,Participant 002 Third Ordering,Participant 003 First Ordering,Participant 003 Second Ordering,Participant 003 Third Ordering,Participant 005 First Ordering,Participant 005 Second Ordering,Participant 005 Third Ordering,Participant 006 First Ordering,Participant 006 Second Ordering,Participant 006 Third Ordering,Participant 007 First Ordering,Participant 007 Second Ordering,Participant 007 Third Ordering,Participant 008 First Ordering,Participant 008 Second Ordering,Participant 008 Third Ordering,Participant 011 First Ordering,Participant 011 Second Ordering,Participant 011 Third Ordering,Participant 012 First Ordering,Participant 012 Second Ordering,Participant 012 Third Ordering,Participant 009 First Ordering,Participant 009 Second Ordering,Participant 009 Third Ordering,Participant 010 First Ordering,Participant 010 Second Ordering,Participant 010 Third Ordering,Participant 013 First Ordering,Participant 013 Second Ordering,Participant 013 Third Ordering,Participant 014 First Ordering,Participant 014 Second Ordering,Participant 014 Third Ordering
surfboard_01b.jpg,42.0,38.0,36.0,45.0,44.0,45.0,21.0,20.0,24.0,32.0,36.0,37.0,40.0,29.0,31.0,47.0,48.0,48.0,44.0,43.0,45.0,37.0,18.0,28.0,44.0,49.0,49.0,41.0,43.0,46.0,49.0,49.0,49.0,47.0,44.0,46.0,32.0,37.0,45.0
whip_01b.jpg,50.0,47.0,50.0,26.0,41.0,34.0,13.0,16.0,22.0,10.0,38.0,36.0,50.0,49.0,49.0,38.0,33.0,39.0,47.0,47.0,47.0,48.0,14.0,33.0,25.0,22.0,37.0,45.0,46.0,47.0,43.0,25.0,30.0,50.0,50.0,49.0,40.0,50.0,9.0
hair_01b.jpg,49.0,26.0,23.0,13.0,10.0,10.0,49.0,49.0,49.0,2.0,26.0,24.0,4.0,14.0,14.0,6.0,3.0,3.0,2.0,11.0,5.0,4.0,21.0,9.0,1.0,15.0,5.0,6.0,8.0,6.0,1.0,7.0,2.0,27.0,1.0,12.0,1.0,21.0,13.0
mouse1_01b.jpg,28.0,7.0,12.0,33.0,30.0,32.0,40.0,42.0,44.0,39.0,42.0,42.0,20.0,21.0,21.0,31.0,29.0,32.0,32.0,26.0,29.0,33.0,7.0,23.0,29.0,32.0,35.0,31.0,26.0,33.0,26.0,43.0,38.0,28.0,21.0,23.0,2.0,20.0,27.0
stereo_01b.jpg,45.0,20.0,25.0,35.0,23.0,29.0,6.0,4.0,4.0,3.0,10.0,8.0,26.0,17.0,28.0,23.0,41.0,33.0,15.0,21.0,14.0,28.0,33.0,39.0,15.0,5.0,19.0,5.0,14.0,20.0,33.0,35.0,31.0,22.0,9.0,8.0,21.0,43.0,8.0
mole_01b.jpg,27.0,5.0,11.0,14.0,8.0,9.0,37.0,35.0,41.0,34.0,31.0,32.0,18.0,23.0,22.0,37.0,30.0,35.0,20.0,40.0,24.0,20.0,3.0,7.0,27.0,8.0,9.0,12.0,24.0,15.0,8.0,17.0,19.0,1.0,16.0,20.0,28.0,4.0,1.0
monkey_01b.jpg,8.0,2.0,3.0,31.0,28.0,30.0,32.0,34.0,34.0,40.0,44.0,44.0,29.0,7.0,9.0,27.0,28.0,30.0,33.0,36.0,32.0,31.0,37.0,42.0,49.0,37.0,36.0,30.0,28.0,35.0,27.0,39.0,29.0,34.0,30.0,38.0,36.0,11.0,36.0
casserole_01b.jpg,22.0,15.0,19.0,43.0,43.0,44.0,28.0,25.0,27.0,5.0,6.0,5.0,31.0,35.0,35.0,3.0,6.0,5.0,14.0,7.0,4.0,7.0,25.0,18.0,45.0,25.0,30.0,38.0,40.0,39.0,38.0,31.0,8.0,40.0,11.0,27.0,10.0,31.0,28.0
orangutan_01b.jpg,6.0,6.0,5.0,32.0,27.0,31.0,31.0,32.0,32.0,38.0,43.0,41.0,16.0,6.0,5.0,28.0,22.0,24.0,31.0,28.0,35.0,16.0,40.0,29.0,30.0,40.0,29.0,29.0,27.0,36.0,21.0,24.0,21.0,37.0,18.0,26.0,26.0,27.0,33.0
flower_01b.jpg,41.0,19.0,24.0,48.0,49.0,48.0,47.0,47.0,47.0,42.0,48.0,46.0,37.0,26.0,25.0,32.0,38.0,38.0,43.0,41.0,40.0,38.0,12.0,25.0,42.0,42.0,45.0,40.0,35.0,26.0,50.0,50.0,50.0,39.0,34.0,43.0,35.0,40.0,44.0
shaker_01b.jpg,48.0,50.0,48.0,41.0,37.0,40.0,14.0,11.0,9.0,30.0,37.0,34.0,24.0,41.0,32.0,49.0,50.0,50.0,12.0,46.0,34.0,30.0,35.0,34.0,9.0,6.0,18.0,37.0,44.0,37.0,34.0,37.0,41.0,4.0,13.0,30.0,8.0,45.0,37.0
mold2_01b.jpg,1.0,42.0,22.0,12.0,13.0,11.0,48.0,48.0,48.0,6.0,5.0,4.0,6.0,11.0,13.0,9.0,2.0,7.0,17.0,15.0,18.0,8.0,32.0,21.0,24.0,23.0,10.0,33.0,30.0,38.0,31.0,18.0,36.0,33.0,2.0,29.0,48.0,3.0,47.0
